,lat,lon
0,32.5130890052356,241.25
1,32.5130890052356,242.5
2,32.5130890052356,243.75
3,33.455497382198956,240.0
4,33.455497382198956,241.25
5,33.455497382198956,242.5
6,34.3979057591623,238.75
7,34.3979057591623,240.0
8,34.3979057591623,241.25
9,35.340314136125656,237.5
10,35.340314136125656,238.75
11,35.340314136125656,240.0
12,36.282722513089,236.25
13,36.282722513089,237.5
14,36.282722513089,238.75
15,37.225130890052355,236.25
16,37.225130890052355,237.5
17,37.225130890052355,238.75
18,38.16753926701571,235.0
19,38.16753926701571,236.25
20,38.16753926701571,237.5
21,39.10994764397907,235.0
22,39.10994764397907,236.25
23,39.10994764397907,237.5
24,40.0523560209424,233.75
25,40.0523560209424,235.0
26,40.0523560209424,236.25
27,40.994764397905755,233.75
28,40.994764397905755,235.0
29,40.994764397905755,236.25
30,41.93717277486911,233.75
31,41.93717277486911,235.0
32,41.93717277486911,236.25
