,Wet/dry ratio (mean across 40 ensemble members)
1921-01-15,0.6875
1922-01-15,2.791666666666667
1923-01-15,1.0625
1924-01-15,1.7023809523809526
1925-01-15,0.875
1926-01-15,0.9545454545454546
1927-01-15,1.0492424242424243
1928-01-15,0.4772727272727273
1929-01-15,0.6833333333333333
1930-01-15,3.5
1931-01-15,0.6111111111111112
1932-01-15,0.761904761904762
1933-01-15,1.3928571428571428
1934-01-15,0.7083333333333334
1935-01-15,0.5227272727272727
1936-01-15,2.625
1937-01-15,0.4222222222222223
1938-01-15,1.1111111111111112
1939-01-15,0.7249999999999999
1940-01-15,1.1547619047619049
1941-01-15,0.5959595959595959
1942-01-15,0.4444444444444445
1943-01-15,1.15
1944-01-15,1.2767857142857144
1945-01-15,2.0749999999999997
1946-01-15,0.7321428571428571
1947-01-15,0.45454545454545453
1948-01-15,0.6
1949-01-15,2.8333333333333335
1950-01-15,1.9
1951-01-15,0.9375
1952-01-15,0.5
1953-01-15,1.4841269841269842
1954-01-15,1.1666666666666667
1955-01-15,0.875
1956-01-15,1.5357142857142856
1957-01-15,0.5227272727272727
1958-01-15,2.35
1959-01-15,0.8888888888888888
1960-01-15,1.9166666666666667
1961-01-15,0.7361111111111112
1962-01-15,0.25
1963-01-15,0.7136363636363636
1964-01-15,1.875
1965-01-15,2.375
1966-01-15,0.4835164835164835
1967-01-15,0.7013888888888888
1968-01-15,0.5
1969-01-15,1.0833333333333335
1970-01-15,3.125
1971-01-15,1.5
1972-01-15,1.0
1973-01-15,1.3
1974-01-15,4.25
1975-01-15,1.2053571428571428
1976-01-15,1.65
1977-01-15,2.071428571428571
1978-01-15,0.5769230769230769
1979-01-15,1.542857142857143
1980-01-15,1.1875
1981-01-15,0.6136363636363636
1982-01-15,1.3541666666666665
1983-01-15,6.333333333333334
1984-01-15,2.25
1985-01-15,0.7307692307692307
1986-01-15,1.0
1987-01-15,0.7
1988-01-15,0.5777777777777777
1989-01-15,2.25
1990-01-15,1.7916666666666667
1991-01-15,0.6538461538461539
1992-01-15,0.9444444444444444
1993-01-15,4.666666666666666
1994-01-15,0.6378205128205128
1995-01-15,0.7525252525252525
1996-01-15,0.6727272727272727
1997-01-15,6.25
1998-01-15,0.7067307692307692
1999-01-15,0.9333333333333333
2000-01-15,0.8782051282051282
2001-01-15,1.9
2002-01-15,0.6477272727272727
2003-01-15,1.1547619047619049
2004-01-15,1.2857142857142858
2005-01-15,1.708333333333333
2006-01-15,0.6681818181818181
2007-01-15,0.606060606060606
2008-01-15,1.0555555555555556
2009-01-15,1.0285714285714285
2010-01-15,1.7708333333333335
2011-01-15,0.45
2012-01-15,1.0089285714285714
2013-01-15,1.0
2014-01-15,15.5
2015-01-15,5.5
2016-01-15,0.5
2017-01-15,0.7777777777777778
2018-01-15,1.95
2019-01-15,2.017857142857143
2020-01-15,0.6416666666666666
2021-01-15,1.1916666666666669
2022-01-15,0.9846153846153846
2023-01-15,0.6818181818181818
2024-01-15,1.0625
2025-01-15,1.3214285714285716
2026-01-15,1.0909090909090908
2027-01-15,1.05
2028-01-15,0.8785714285714286
2029-01-15,1.2380952380952381
2030-01-15,0.6675824175824177
2031-01-15,1.0125
2032-01-15,2.0238095238095237
2033-01-15,3.25
2034-01-15,1.1666666666666665
2035-01-15,0.6333333333333333
2036-01-15,0.5333333333333333
2037-01-15,2.6071428571428568
2038-01-15,1.9464285714285712
2039-01-15,1.6
2040-01-15,0.8590909090909091
2041-01-15,0.8444444444444446
2042-01-15,1.2698412698412698
2043-01-15,1.2767857142857144
2044-01-15,0.8636363636363636
2045-01-15,0.9285714285714286
2046-01-15,1.5476190476190477
2047-01-15,1.5
2048-01-15,2.3714285714285714
2049-01-15,1.4666666666666668
2050-01-15,0.8516483516483517
2051-01-15,1.0
2052-01-15,2.8333333333333335
2053-01-15,0.8712121212121212
2054-01-15,0.7249999999999999
2055-01-15,1.4
2056-01-15,1.45
2057-01-15,1.0833333333333335
2058-01-15,2.0238095238095237
2059-01-15,2.142857142857143
2060-01-15,3.05
2061-01-15,1.7410714285714288
2062-01-15,5.666666666666667
2063-01-15,2.1875
2064-01-15,1.0055555555555555
2065-01-15,1.7142857142857144
2066-01-15,1.25
2067-01-15,3.1
2068-01-15,3.75
2069-01-15,1.5555555555555554
2070-01-15,1.375
2071-01-15,1.7444444444444445
2072-01-15,3.6
2073-01-15,1.7708333333333333
2074-01-15,0.875
2075-01-15,2.5999999999999996
2076-01-15,2.7142857142857144
2077-01-15,1.3333333333333335
2078-01-15,0.9444444444444444
2079-01-15,1.6041666666666667
2080-01-15,1.2196969696969697
2081-01-15,4.666666666666667
2082-01-15,5.333333333333334
2083-01-15,2.4642857142857144
2084-01-15,1.5357142857142856
2085-01-15,1.4
2086-01-15,3.1499999999999995
2087-01-15,1.7638888888888888
2088-01-15,1.2651515151515151
2089-01-15,3.5
2090-01-15,3.1
2091-01-15,1.75
2092-01-15,1.525
2093-01-15,2.2857142857142856
2094-01-15,7.749999999999999
2095-01-15,4.166666666666667
2096-01-15,1.0625
2097-01-15,2.178571428571429
2098-01-15,4.15
2099-01-15,2.025
2100-01-15,3.6
